LAND;EIU;REGION;NETZ;ANLAGEN_NR;STR_NR;VON_KM;BIS_KM;VON_KM_I;BIS_KM_I;RIKZ;RIL_100;STR_MEHRFACHZUORD;LAENGE;ANZ_STR_GL;QUERSCHN;BAUWEISE;WL_SERVICEEINR
HE;DB Netz (ohne RNI);MI;Mainz;13000220;4113;49,5 + 46;50,7 + 51;104950046;105070051;0;nv;nv;1205;1;42,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000223;3701;42,8 + 93;43,5 + 66;104280093;104350066;0;nv;nv;673;1;42,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000225;3701;58,4 + 8;58,9 + 43;105840008;105890043;0;nv;nv;535;1;41,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000226;2630;125,7 + 33;126,1 + 0;112570033;112610000;0;nv;nv;367;2;48,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000227;2630;127,6 + 67;127,9 + 3;112760067;112790003;0;nv;nv;236;2;48,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000228;2630;128,2 + 31;128,5 + 20;112820031;112850020;0;nv;nv;289;2;48,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000229;3520;0,4 + 18;1,0 + 73;100040018;100100073;2;nv;nv;655;2;74,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000230;3520;1,3 + 73;1,6 + 14;100130073;100160014;2;FMS;nv;241;2;74,000;B;nv
RP;DB Netz (ohne RNI);MI;Mainz;13000231;3523;37,5 + 71;37,9 + 49;103750071;103790049;0;nv;nv;378;1;31,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000232;3612;0,6 + 65;0,9 + 35;100060065;100090035;0;nv;nv;598;1;28,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000233;3611;0,8 + 2;0,8 + 56;100080002;100080056;0;nv;nv;461;1;29,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000234;3610;0,3 + 95;0,7 + 69;100030095;100070069;0;nv;nv;374;1;33,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000235;3610;0,3 + 95;0,7 + 69;100030095;100070069;0;nv;nv;374;1;32,400;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000237;3682;50,3 + 0;50,6 + 87;105030000;105060087;0;nv;nv;387;1;33,600;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000238;3681;50,0 + 77;50,1 + 34;105000077;105010034;0;nv;nv;57;2;55,000;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000241;3681;50,1 + 18;50,2 + 14;105010018;105020014;0;nv;nv;96;2;96,000;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000242;3683;10,2 + 53;11,5 + 86;101020053;101150086;0;nv;nv;2232;2;51,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000244;3683;11,5 + 86;12,4 + 85;101150086;101240085;0;FFLU;nv;899;2;66,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000245;3681;51,7 + 27;51,9 + 67;105170027;105190067;0;nv;nv;240;4;54,400;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000246;3681;50,1 + 34;50,3 + 5;105010034;105030005;0;nv;nv;171;2;86,400;O;nv
NW;DB Netz (ohne RNI);W;Hagen;13000247;2864;14,0 + 34;15,1 + 7;101400034;101510007;0;nv;nv;1073;1;47,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000248;2864;16,6 + 86;17,7 + 20;101660086;101770020;0;nv;nv;1034;1;46,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000249;2864;18,5 + 99;18,8 + 18;101850099;101880018;0;nv;nv;219;1;41,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000251;2810;10,1 + 42;10,3 + 75;101010042;101030075;0;nv;nv;233;1;37,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000252;2810;14,9 + 84;15,1 + 36;101490084;101510036;0;nv;nv;152;1;38,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000254;2810;21,8 + 88;22,1 + 26;102180088;102210026;0;nv;nv;238;1;35,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000256;2813;4,7 + 5;5,1 + 5;100470005;100510005;0;nv;nv;400;1;33,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000257;2840;159,2 + 99;160,1 + 55;115920099;116010055;0;nv;nv;856;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000258;2853;6,8 + 81;6,9 + 98;100680081;100690098;0;nv;nv;117;1;37,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000259;2853;7,9 + 39;8,2 + 16;100790039;100820016;0;nv;nv;277;1;37,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000260;2423;65,3 + 59;66,3 + 3;106530059;106630003;0;nv;nv;944;1;48,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000261;2819;1,6 + 34;1,6 + 2234;100160034;100162234;0;nv;nv;2200;2;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000262;2800;25,4 + 16;26,0 + 43;102540016;102600043;0;nv;nv;627;2;52,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000263;2800;28,6 + 82;28,7 + 65;102860082;102870065;0;nv;nv;83;2;46,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000264;2800;29,2 + 53;29,3 + 97;102920053;102930097;0;nv;nv;144;2;48,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000265;2800;32,0 + 0;32,9 + 35;103200000;103290035;0;nv;nv;935;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000266;2800;35,2 + 43;36,0 + 38;103520043;103600038;1;nv;nv;793;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000267;2800;38,7 + 78;39,0 + 0;103870078;103900000;0;nv;nv;222;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000268;2800;40,1 + 15;40,4 + 30;104010015;104040030;1;nv;nv;315;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000269;2800;42,8 + 36;43,1 + 42;104280036;104310042;1;nv;nv;306;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000270;2800;51,0 + 53;51,1 + 48;105100053;105110048;1;nv;nv;95;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000271;2800;85,4 + 66;86,1 + 64;108540066;108610064;0;nv;nv;698;2;59,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000272;2880;110,8 + 50;111,2 + 0;111080050;111120000;1;nv;nv;350;2;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000273;2881;0,4 + 49;1,1 + 81;100040049;100110081;0;nv;nv;732;1;38,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000274;2800;105,0 + 5;105,7 + 5;110500005;110570005;0;nv;nv;700;2;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000275;2800;117,6 + 30;120,2 + 82;111760030;112020082;0;nv;nv;2652;2;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000276;2870;12,3 + 6;12,4 + 98;101230006;101240098;0;nv;nv;192;1;36,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000277;2870;18,5 + 50;18,8 + 20;101850050;101880020;0;nv;nv;282;1;35,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000278;2870;19,5 + 14;19,7 + 27;101950014;101970027;0;nv;nv;213;1;39,000;B;nv
HE;RNI;MI;Kurhessenbahn (RNI);13000279;2870;35,2 + 76;35,5 + 97;103520076;103550097;0;nv;nv;321;1;37,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000282;2550;198,1 + 90;198,4 + 66;119810090;119840066;0;nv;nv;276;2;47,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000283;2550;206,5 + 7;207,1 + 92;120650007;120710092;0;nv;nv;685;2;54,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000284;2550;208,5 + 26;209,1 + 76;120850026;120910076;0;nv;nv;650;2;50,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000285;2550;232,2 + 78;232,5 + 25;123220078;123250025;0;nv;nv;247;2;48,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000286;2550;240,0 + 85;241,4 + 78;124000085;124140078;0;nv;nv;1393;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000287;2550;249,3 + 53;249,6 + 72;124930053;124960072;0;nv;nv;319;1;50,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000288;2550;253,3 + 22;253,5 + 59;125330022;125350059;0;nv;nv;237;1;50,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000292;2961;56,0 + 71;56,3 + 51;105600071;105630051;0;nv;nv;280;1;34,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000293;2880;115,7 + 8;115,9 + 39;111570008;111590039;1;nv;nv;232;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000294;2880;116,9 + 87;117,2 + 17;111690087;111720017;0;nv;nv;232;2;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000295;2880;119,1 + 96;119,3 + 22;111910096;111930022;0;nv;nv;127;2;51,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000296;2651;72,9 + 58;73,3 + 2;107290058;107330002;0;nv;nv;344;2;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000297;2651;76,8 + 37;77,0 + 69;107680037;107700069;0;nv;nv;232;2;52,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000298;2651;79,3 + 43;79,3 + 75;107930043;107930075;0;nv;nv;32;2;51,000;B;nv
RP;DB Netz (ohne RNI);W;Hagen;13000299;2651;84,3 + 19;84,4 + 50;108430019;108440050;0;nv;nv;131;1;54,000;B;nv
RP;DB Netz (ohne RNI);W;Hagen;13000300;2651;88,6 + 36;88,7 + 73;108860036;108870073;0;nv;nv;137;1;53,000;B;nv
NW;DB Netz (ohne RNI);W;Hagen;13000301;2190;14,1 + 97;14,3 + 78;101410097;101430078;0;nv;nv;181;2;50,000;O;nv
NW;DB Netz (ohne RNI);W;Hagen;13000302;2190;14,6 + 0;15,2 + 80;101460000;101520080;0;nv;nv;680;2;52,000;O;nv
NW;DB Netz (ohne RNI);W;Hagen;13000303;2190;15,5 + 7;15,5 + 48;101550007;101550048;0;nv;nv;41;2;60,000;O;nv
NW;DB Netz (ohne RNI);W;Hagen;13000304;2190;16,2 + 10;16,3 + 19;101620010;101630019;0;EDDP;nv;109;2;47,000;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000305;3681;52,2 + 95;52,5 + 29;105220095;105250029;0;nv;nv;234;2;54,400;O;nv
NW;DB Netz (ohne RNI);W;Hagen;13000306;2190;16,5 + 33;16,5 + 42;101650033;101650042;0;EDDP;nv;9;2;50,000;O;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000309;1733;249,8 + 38;250,6 + 11;124980038;125060011;0;nv;nv;773;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000311;1733;247,9 + 35;249,2 + 22;124790035;124920022;0;nv;nv;1287;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000313;1733;246,5 + 10;247,2 + 63;124650010;124720063;0;nv;nv;753;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000315;1733;241,2 + 44;241,9 + 58;124120044;124190058;0;nv;nv;714;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000318;3682;53,1 + 84;53,5 + 32;105310084;105350032;0;nv;nv;348;1;54,400;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000320;3681;54,5 + 50;54,7 + 63;105450050;105470063;0;nv;nv;213;2;54,400;O;nv
HE;DB Netz (ohne RNI);MI;Frankfurt (Main);13000322;3688;55,6 + 81;55,8 + 94;105560081;105580094;0;FFS;nv;213;2;66,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000323;1733;231,3 + 54;231,7 + 6;123130054;123170006;0;nv;nv;352;2;82,000;O;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000324;1733;223,6 + 75;231,0 + 50;122360075;123100050;0;nv;nv;7375;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000325;1733;220,1 + 76;220,5 + 63;122010076;122050063;0;nv;nv;387;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000326;1733;216,6 + 97;217,6 + 73;121660097;121760073;0;nv;nv;976;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000327;1733;215,3 + 97;216,1 + 93;121530097;121610093;0;FLSW;nv;796;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000328;1733;212,7 + 66;213,3 + 23;121270066;121330023;0;nv;nv;557;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000329;1733;208,1 + 35;211,6 + 45;120810035;121160045;0;nv;nv;3510;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000330;1733;204,9 + 30;205,7 + 65;120490030;120570065;0;nv;nv;835;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000331;1733;203,8 + 53;204,2 + 97;120380053;120420097;0;nv;nv;444;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000332;1733;199,0 + 36;202,8 + 56;119900036;120280056;0;nv;nv;3820;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000333;1733;197,1 + 55;197,9 + 93;119710055;119790093;0;FKHM;nv;838;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000334;1733;194,2 + 93;195,8 + 10;119420093;119580010;0;nv;nv;1517;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000335;1733;192,9 + 21;193,9 + 64;119290021;119390064;0;nv;nv;1043;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000336;1733;191,6 + 10;191,9 + 31;119160010;119190031;0;nv;nv;321;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000337;1733;189,8 + 30;191,5 + 27;118980030;119150027;0;nv;nv;1697;2;82,000;B;nv
HE;DB Netz (ohne RNI);MI;Kassel;13000338;1733;183,7 + 39;189,1 + 9;118370039;118910009;0;nv;nv;5370;2;82,000;B;nv
